EpisodeName,EpisodeID,SeasonID,CertificateID,TechnicalSpecsID,ParentGuideID,PhotoID,StoryLine,AvailableOnAmazonPrime
Pilot,1,1,1,1,1,1,In the small town of Mystic Falls; teenager Elena Gilbert and her younger brother; Jeremy; struggle to come to terms with the recent death of their parents. Elena is popular amongst her peers and the perfect straight-A student. However; she has difficulties hiding her grief from the world. Meanwhile; Jeremy treads on a dangerous path of using drugs to ease his pain. The arrival of new student Stefan Salvatore; makes Elena think about romantic possibilities. Elena is unaware about Stefan's mysterious origins as well as his brother Damon.,Yes
The Night of the Comet,2,1,3,2,2,2,As Mystic Falls prepares for a festival to celebrate the passing of a comet; Vicki is in the hospital recovering from the attack she can barely remember. Stefan goes to the hospital and tries to use his abilities to make sure Vicki doesn't remember what really happened; but his attempt is cut short when Vicki's brother Matt arrives. Jeremy continues to struggle at school and with his feelings for Vicki. At a parent/teacher conference; Mr. Tanner makes Aunt Jenna feel that she is failing as a surrogate parent; especially when it comes to the self-destructive Jeremy.,Yes
The Return,3,2,2,5,3,3,John and Jeremy are almost dead when Elena arrives at home. Anna's blood saves Jeremy and the 911 brings John to the hospital. Stefan uses his blood to save John and tells him to leave Mystic Fall. Damon uses his blood to heal Caroline and he discovers that Katherine has returned to the town. Tyler is comforted by his mysterious uncle Mason; who is the black sheep of his family. Damon is rejected by Katherine and Elena and revenges against Jeremy. Katherine begins her game with Caroline; leaving a dark message to the Salvatore brothers.,No
Brave New World,4,2,4,3,4,4,Caroline awakes in the hospital with hunger and she satisfies with a blood bag first and then with the blood of the night shift nurse. In the morning she finds that she can be burnt by the sun. When Matt tells her that she will be discharged in the morning; she tells that she needs to be released in the night; and he believes that she is worried with the Carnival. Stefan helps Jeremy and Damon is invited by Carol to be the president of Mystic Fall council and he overhears a conversation between Mason and Tyler.,No
Chapter One,5,1,1,4,5,5,Jane finds her life turned upside down when she is artificially inseminated by accident.,Yes
Chapter Two,6,1,3,6,10,6,Jane's mother pressures her to sue the doctor responsible for the accidental insemination.,No
Chapter Twenty-Three,7,2,2,1,9,7,Sin Rostro makes a ransom demand after abducting Mateo; Rafael feels left out when Jane turns to Xo and Alba for help; Petra considers what she should do with Rafael's last sperm sample.,No
Chapter Twenty-Four,8,2,4,2,8,8,Jane receives Mateo back; but must face the brewing love triangle between her; Michael and Rafael. Xo and Rogelio must perform on a cruise ship as part of contract agreements. Lachlan returns from his trip and proposes a deal; but Petra and Rafael don't trust him. Meanwhile; Alba makes a change in her life.,Yes
Pilot,9,1,1,5,7,9,It's the year 2030 and an older Ted Mosby is telling the story to his son and daughter about how he met and will eventually marry their mother. This is where we meet for the first time Ted; Lily; Marshall; Barney and Robin.,No
Purple Giraffe,10,1,3,3,6,10,Ted throws a party in hopes of seeing Robin again; but when she doesn't show up; he throws another... and another.,No
